Наполеон|Слоёные коржи, заварной крем
Медовик|Мёд, сметанный крем
Птичье молоко|Суфле, шоколадная глазурь
Прага|Шоколадный бисквит, крем
Муравейник|Печенье, сгущёнка, орехи
Тирамису|Маскарпоне, савоярди, кофе
Киевский|Безе с орехами, масляный крем
Сметанник|Бисквит, сметанный крем
Зебра|Полосатый бисквит, какао
Чёрный лес|Шоколадный бисквит, вишня, сливки
Печенье Американо|тесто, шоколад, молоко&category=Печенье&image=https://i.pinimg.com/736x/c7/fc/a3/c7fca34c720d19b7f9172904cfa958f3.jpg&allergens=глютен
